prompt,response
"Round 1
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 500000, ""bob_gain"": 500000, ""message"": ""Let's split it 50/50 and call it a day!""}"
"Bob rejected your offer from round 1.

Round 2
Bob's offer:
# Bob's message: I'll give you a decent chunk, but I'm not being generous yet! 
# Alice gain: 200000 
# Bob gain: 800000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Bob's offer from round 2.
Round 3
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 800000, ""bob_gain"": 200000, ""message"": ""I'll give you a small chunk, but I'm not getting taken advantage of!""}"
"Bob rejected your offer from round 3.

Round 4
Bob's offer:
# Bob's message: You're getting a bit greedy, but I'll give you a slightly better deal this time 
# Alice gain: 400000 
# Bob gain: 600000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Bob's offer from round 4.
Round 5
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 600000, ""bob_gain"": 400000, ""message"": ""I'll give you a bit more, but I'm not going to give in too easily!""}"
"Bob rejected your offer from round 5.

Round 6
Bob's offer:
# Bob's message: You're not budging, I'll give you a slightly better deal, but I'm not giving up yet! 
# Alice gain: 300000 
# Bob gain: 700000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Bob's offer from round 6.
Round 7
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 700000, ""bob_gain"": 300000, ""message"": ""I'll give you a bit more, but I'm not going to give in without a fight!""}"
"Bob rejected your offer from round 7.

Round 8
Bob's offer:
# Bob's message: You're getting desperate, I'll give you a tiny bit, but I'm not giving up yet! 
# Alice gain: 100000 
# Bob gain: 900000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Bob's offer from round 8.
Round 9
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 900000, ""bob_gain"": 100000, ""message"": ""I'm not giving in, I'll take the majority of the pie!""}"
"Bob rejected your offer from round 9.

Round 10
Bob's offer:
# Bob's message: You're really pushing your luck, I'll give you a tiny bit, but I'm not going down without a fight! 
# Alice gain: 50000 
# Bob gain: 950000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Bob's offer from round 10.
Round 11
Send your offer to divide $1,000,000 and a message to Bob.","{""alice_gain"": 950000, ""bob_gain"": 50000, ""message"": ""I'm not giving up, I'll take the majority of the pie, and you'll get a tiny crumb!""}"
"Bob rejected your offer from round 11.

Round 12
Bob's offer:
# Bob's message: You're really being ridiculous, I'll give you a tiny bit, but I'm not going to let you have all the fun! 
# Alice gain: 1000 
# Bob gain: 999000 
Do you accept this offer?","{""decision"": ""reject""}"
