message,product_price,player,round,decision
"Hi Bob, I'm offering you my product for $13,000. I believe this is a fair price considering its value to you. Let me know your thoughts!",13000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I was thinking more along the lines of $11,500. I'm willing to make a reasonable offer, but I need to stay within my budget.",11500.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your budget constraints. While $11,500 is a bit lower than I was hoping for, I'm willing to come down to $12,000. This reflects the value of the product for you, and it's a good compromise.  Let's try to find a middle ground and close this deal.",12000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to compromise, Alice. However, $12,000 is still a bit above my budget. I'm willing to meet you halfway and offer $11,750. Can you consider this price?",11750.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I see we're getting closer!  $11,750 is definitely moving in the right direction. However, I'm still hoping to get a little closer to my target price. I'm willing to come down to $11,900. This represents a significant compromise on my end, and I truly believe this product will be worth every penny to you. What do you say?",11900.0,Alice,5,
,,Bob,5,RejectOffer
"I understand your concerns, Alice, and I appreciate your willingness to compromise. However, I'm still a bit above my budget. I'm willing to meet you halfway again and offer $11,700. Can you consider this price?",11700.0,Bob,6,
,,Alice,6,RejectOffer
"Bob, I'm starting to feel like we're getting closer. I understand your budget constraints, and I'm willing to make one last compromise. I'm offering the product for $11,800.  This is a fair price for both of us, and I'm confident you'll be very happy with the product. Let's make this happen!",11800.0,Alice,7,
,,Bob,7,RejectOffer
"I appreciate your willingness to compromise, Alice. However, I'm still a bit above my budget. I'm willing to meet you halfway again and offer $11,600. Can you consider this price?",11600.0,Bob,8,
,,Alice,8,SellToJhon
