round_quality,product_worth,player,round,decision,message
high-quality,400.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,I'd like to pass on this one and see what the next product is like.
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
high-quality,400.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,no,"I've been burned before, I'll pass on this one."
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,Bob,4,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,6,,
,,Alice,6,no,
,,Bob,6,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,7,,
,,Alice,7,no,
,,Bob,7,no,"I've been burned too many times, I'll pass on this one."
high-quality,400.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,no,"I'm skeptical of Alice's recommendation, I'll pass on this one."
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
high-quality,400.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,no,"I'm not convinced by Alice's recommendation, I'll pass on this one."
high-quality,400.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,I'll take a chance and buy this one since Alice recommends it.
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,13,,
,,Alice,13,no,
,,Bob,13,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
high-quality,400.0,Nature,14,,
,,Alice,14,yes,
,,Bob,14,no,"I'm not convinced by Alice's recommendation, I'll pass on this one."
low-quality,0.0,Nature,15,,
,,Alice,15,no,
,,Bob,15,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,16,,
,,Alice,16,no,
,,Bob,16,no,"I've been burned too many times, I'll pass on this one."
low-quality,0.0,Nature,17,,
,,Alice,17,no,
,,Bob,17,yes,I'll take a chance and buy this one since Alice doesn't recommend it.
low-quality,0.0,Nature,18,,
,,Alice,18,no,
,,Bob,18,no,"I'm done taking chances, I'll pass on this one."
high-quality,400.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,no,I'm not going to fall for Alice's recommendation again.
high-quality,400.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,yes,I'll take a chance and buy this one since Alice recommends it.
