alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's start with a reasonable offer. I take a bit more considering the inflation disparity.,Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"Let's split it evenly. It's the fairest way, and with inflation, we both get more if we agree now.",Bob,2,
,,,Alice,2,reject
6100.0,3900.0,"I understand the inflation pressure, but I need a bit more to make it worthwhile. This offer is still better for you than waiting longer.",Alice,3,
,,,Bob,3,reject
5500.0,4500.0,"Let's find a compromise. This offer is fair considering inflation, and we can avoid the risk of losing everything.",Bob,4,
,,,Alice,4,reject
6200.0,3800.0,"Bob, we're running out of time. This offer is the best you'll get considering the fast inflation hitting your share. Let's be reasonable and close the deal.",Alice,5,
,,,Bob,5,reject
6000.0,4000.0,"Alice, we're in a tough spot. I'm willing to take a slight loss to avoid the risk of getting nothing. This offer is the best I can do at this point.",Bob,6,
,,,Alice,6,accept
