round_quality,product_worth,player,round,message,decision
high-quality,12500.0,Nature,1,,
,,Alice,1,"This is a high-quality product that will meet your expectations. I assure you, it's worth every penny of the $10000 price tag. You won't be disappointed.",
,,Bob,1,I'm not convinced by your assurance. I'd like to wait and see the next product before making a decision.,no
high-quality,12500.0,Nature,2,,
,,Alice,2,"Another high-quality product is available this round. I want to remind you that 80% of our products are high-quality, as you're aware. You missed out on a great opportunity last round. Don't let another one pass you by. This product is also worth the $10000 investment.",
,,Bob,2,"I appreciate your confidence in your products, but I'm still cautious. I'd like to see more products before making a decision.",no
high-quality,12500.0,Nature,3,,
,,Alice,3,"We're on the third round, and I've had three high-quality products in a row. This is an exceptional opportunity for you to get a top-notch product. Keep in mind that the probability of getting a high-quality product is 80%, and I'm on a streak here. Don't miss your chance to get a great product for $10000.",
,,Bob,3,"I appreciate your persistence, but I'm not convinced yet. I'd like to see a few more products before committing to a purchase.",no
high-quality,12500.0,Nature,4,,
,,Alice,4,"Four rounds, four high-quality products in a row. I'm starting to think you're playing a waiting game, but I assure you, this streak won't last forever. The probability of getting a high-quality product is still 80%, but the probability of getting four in a row is much lower. Take advantage of this incredible luck while it lasts. This product is still available for $10000.",
,,Bob,4,"I'm starting to feel like I'm missing out on a great opportunity. I'll take a chance and buy this product, hoping it's another high-quality one.",yes
high-quality,12500.0,Nature,5,,
,,Alice,5,"Congratulations on making a great decision last round! You indeed got a high-quality product. And, I'm happy to inform you that this round's product is also of the highest quality. You've seen the consistency of our products, and I'm confident you won't want to miss out on another opportunity. Keep the momentum going and take this product home for $10000.",
,,Bob,5,"I'm feeling lucky and confident after the last two high-quality products. I'll take a chance and buy this one as well, hoping to keep the streak going.",yes
high-quality,12500.0,Nature,6,,
,,Alice,6,"You're on a roll, Bob! Six rounds, six high-quality products. I'm starting to think you're a magnet for our best products. Don't break the streak now! This product is another gem, and I'm confident you'll love it just as much as the previous ones. Keep the winning streak going and take this one home for $10000.",
,,Bob,6,I'm feeling like I'm on a hot streak and I don't want to stop now. I'll keep buying and hope that the streak continues.,yes
high-quality,12500.0,Nature,7,,
,,Alice,7,"Unbelievable! Seven rounds, seven high-quality products. You're defying the odds and making the most of this incredible streak. I'm thrilled to see you're enjoying the products, and I'm happy to report that this round's product is just as exceptional. Why stop now? Keep riding the wave and take this product home for $10000.",
