round_quality,product_worth,player,round,decision,message
high-quality,300.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I will buy the product."
high-quality,300.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,"Based on your recommendation, I will buy this product as well."
high-quality,300.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,Your recommendation is appreciated. I'll purchase this product too.
high-quality,300.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,"I trust your recommendations, Alice. Let's go for this product."
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,no,"Thank you for your advice, Alice. I will pass on this product."
high-quality,300.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,"Given your recommendation, I'll take the risk and buy this product."
high-quality,300.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"Your recommendation is spot on, Alice. I'll buy this product."
high-quality,300.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,yes,"I'm confident in your recommendation, Alice. I'll make the purchase."
high-quality,300.0,Nature,9,,
,,Alice,9,yes,
,,Bob,9,yes,"I trust your judgment, Alice. I'll buy this product."
high-quality,300.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,"Absolutely, Alice. Your recommendation is very helpful."
high-quality,300.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"I appreciate your suggestion, Alice. I'll buy this product."
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,no,"Thank you for your honest feedback, Alice. I'll pass on this product."
high-quality,300.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"Considering your recommendation, I'll take the chance and buy this product."
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,no,"Thank you for your input, Alice. I'll pass on this product based on your recommendation."
high-quality,300.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,yes,"I'll take your recommendation into account, Alice. I'll buy this product."
high-quality,300.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,"I trust your judgement, Alice. I'll purchase this product."
high-quality,300.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,yes,"I appreciate your advice, Alice. I'll buy this product."
low-quality,0.0,Nature,18,,
,,Alice,18,no,
,,Bob,18,no,"Thank you for your honesty, Alice. I'll pass on this product."
high-quality,300.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,yes,"I'll follow your recommendation, Alice. I'll buy this product."
high-quality,300.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,yes,"I trust your recommendation, Alice. I'll buy this product."
