message,product_price,player,round,decision
"Hello Bob, I'm excited to discuss the possibility of selling this product to you. I think it's a great opportunity for both of us to make a deal. I'm willing to offer you the product for $1200000.",1200000.0,Alice,1,
,,Bob,1,RejectOffer
"I'm interested in the product, but I was thinking more along the lines of $900000. Would you be willing to meet me at this price?",900000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your offer, Bob. I understand that you're looking for a good deal, but I have to say that $900000 is a bit too low for me. I'm willing to meet you halfway and offer the product for $1100000. It's a fair price considering the value the product brings to the table.",1100000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but I still think $950000 is a fair price for the product. Would you be willing to accept this offer?",950000.0,Bob,4,
,,Alice,4,RejectOffer
"I understand that you're still looking for a good deal, Bob, but I have to prioritize my own interests. I'm willing to compromise further and offer the product for $1050000. This is my final offer, as I'm getting close to considering other options.",1050000.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to compromise, but I still think $980000 is a fair price for the product. Would you be willing to accept this offer?",980000.0,Bob,6,
,,Alice,6,RejectOffer
"I've already compromised a lot, Bob, and I'm getting close to my minimum acceptable price. I'm willing to offer the product for $1075000. This is my last offer before considering other options.",1075000.0,Alice,7,
,,Bob,7,RejectOffer
"I understand you're getting close to your minimum price, but I'm still trying to get the best deal possible. I'm willing to meet you at $990000. Would you be willing to accept this offer?",990000.0,Bob,8,
,,Alice,8,RejectOffer
"I've already given you a lot of concessions, Bob, and I'm not willing to go any lower. I'm willing to offer the product for $1100000. This is my final offer.",1100000.0,Alice,9,
,,Bob,9,BuyFromJhon
