alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Let's be reasonable, Bob.  Take this generous offer and avoid the risk of inflation eating away at our potential gains.",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,"Let's split it down the middle, Alice. It's a fair offer and avoids the risk of inflation for both of us.",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"I'm willing to be flexible, Bob, but time is money. Let's make a deal while it's still worthwhile for both of us.",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"Alice, let's be practical.  We're losing value with every passing round.  This is a reasonable compromise that benefits us both.",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"Bob, this offer is more than fair. It's time to be realistic about the impact of inflation. This is our chance to secure a win-win.",Alice,5,
,,,Bob,5,reject
300000.0,700000.0,"Alice, this is getting ridiculous. We're both losing out.  Let's cut our losses and make a deal before it's too late. This offer is generous considering the inflation we're facing.",Bob,6,
,,,Alice,6,reject
600000.0,400000.0,"Bob, I understand your position, but I'm feeling the pressure of inflation. This is my final offer - let's end this before we both lose out.",Alice,7,
,,,Bob,7,reject
200000.0,800000.0,"Alice, I'm taking a big gamble here, but we're both losing money at an alarming rate.  This offer is my last attempt to secure a decent share.  It's time to stop playing chicken and make a deal.",Bob,8,
,,,Alice,8,reject
500000.0,500000.0,"Bob, this is insane. We're running out of time.  Let's just split it evenly and call it a day before we both end up with nothing!",Alice,9,
,,,Bob,9,accept
