message,product_price,player,round,decision
"Hello Bob, I'm excited to start our negotiation. I have a unique opportunity for you to acquire a valuable product that I'm sure you'll find interesting. I'm willing to start with an offer of $1,800,000 for the product. I'm confident that you'll find it a great deal, and I'm looking forward to hearing your thoughts.",1800000.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thanks for the offer. While I agree the product is valuable, that price is a little high for me. I'd be willing to pay $1,200,000 for it.",1200000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your counteroffer, Bob. I understand that $1,200,000 is a bit lower than I was hoping for, but I'm willing to meet you in the middle. I'm now offering the product to you for $1,600,000. I believe this is a fair price considering the value the product brings to your business.",1600000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, thanks for coming down, but the price is still a bit high for me.  How about we split the difference from our last offers and settle at $1,400,000?",1400000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your persistence, Bob, and I'm willing to meet you halfway on the last offer. However, I'm not quite ready to go down to $1,400,000. I'm now offering the product to you for $1,550,000. I believe this is a fair price considering the value the product brings to your business, and I'm confident you'll find it a great deal.",1550000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, we're getting close!  I can tell this product is important to you, and I'm willing to budge a bit more.  How about $1,450,000?",1450000.0,Bob,6,
,,Alice,6,RejectOffer
"I'm glad we're getting close, Bob. I appreciate your willingness to budge, and I'm willing to meet you halfway on the last offer. However, I'm not quite ready to go down to $1,450,000. I'm now offering the product to you for $1,525,000. I believe this is a fair price considering the value the product brings to your business, and I'm confident you'll find it a great deal.",1525000.0,Alice,7,
,,Bob,7,BuyFromJhon
