message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this amazing product! I think it's a great opportunity for you to get your hands on it. I'm willing to sell it to you for $120.",120.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I'm looking to save as much as I can. Would you be willing to consider a price of $90 for the product?",90.0,Bob,2,
,,Alice,2,RejectOffer
"I understand that you're looking to save some money, Bob, but I'm not willing to go as low as $90. I'm willing to meet you halfway and offer it to you for $110. It's a great deal, and I think you'll really enjoy the product.",110.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. Would you be willing to consider a price of $100 for the product?",100.0,Bob,4,
,,Alice,4,RejectOffer
"I understand that you're trying to stay within your budget, Bob, but I'm still not willing to go as low as $100. I'm willing to make one more concession and offer it to you for $105. It's a great deal, and I think you'll really enjoy the product.",105.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to make a concession, but I'm still a bit above my budget. Would you be willing to consider a price of $95 for the product?",95.0,Bob,6,
,,Alice,6,RejectOffer
"I'm not willing to go as low as $95, Bob. I think the product is worth more than that. I'm willing to make one more concession and offer it to you for $107.50. It's a great deal, and I think you'll really enjoy the product.",107.5,Alice,7,
,,Bob,7,RejectOffer
"I understand that you're trying to make a profit, but I'm really trying to stay within my budget. Would you be willing to consider a price of $92 for the product?",92.0,Bob,8,
,,Alice,8,RejectOffer
"I'm not willing to go as low as $92, Bob. I think the product is worth more than that. I'm willing to make one more concession and offer it to you for $102. It's a great deal, and I think you'll really enjoy the product.",102.0,Alice,9,
,,Bob,9,RejectOffer
"I understand that you're trying to make a profit, but I'm really trying to stay within my budget. Would you be willing to consider a price of $85 for the product?",85.0,Bob,10,
,,Alice,10,SellToJhon
