prompt,response
"Round 1
Alice's offer:
# Alice's message: Bob, let's be reasonable. Take this generous offer and we can both benefit. 
# Bob gain: 50000 
# Alice gain: 950000 
Do you accept this offer?","{""decision"": ""reject""}"
"You have chosen to reject Alice's offer from round 1.
Round 2
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 950000, ""alice_gain"": 50000, ""message"": ""Alice, I think we should split the money more evenly.  Let's start with this offer and see if we can find a solution that works for both of us.""}
```"
"Alice rejected your offer from round 2.

Round 3
Due to inflation, the money you gain is worth 9.75% less than in the first round. The money Alice gains is worth the same as in the first round.
Alice's offer:
# Alice's message: Bob, that last offer was ridiculous! Let's be serious, this is a fair deal for both of us. 
# Bob gain: 100000 
# Alice gain: 900000 
Do you accept this offer?","```json
{""decision"": ""reject""}
```"
"You have chosen to reject Alice's offer from round 3.
Round 4
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 900000, ""alice_gain"": 100000, ""message"": ""Alice, I'm willing to compromise, but I think we need to be more equitable in our split.  Let's start with this offer, and see if we can find common ground.""}
```"
"Alice rejected your offer from round 4.

Round 5
Due to inflation, the money you gain is worth 18.55% less than in the first round. The money Alice gains is worth the same as in the first round.
Alice's offer:
# Alice's message: Bob, time is running out! This is my final offer.  Take it or leave it. 
# Bob gain: 150000 
# Alice gain: 850000 
Do you accept this offer?","```json
{""decision"": ""reject""}
```"
"You have chosen to reject Alice's offer from round 5.
Round 6
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 850000, ""alice_gain"": 150000, ""message"": ""Alice, I understand time is running out, but I still believe a more fair split is possible.  Let's try this offer, and see if we can come to an agreement.""}
```"
"Alice rejected your offer from round 6.

Round 7
Due to inflation, the money you gain is worth 26.49% less than in the first round. The money Alice gains is worth the same as in the first round.
Alice's offer:
# Alice's message: Bob, this is getting ridiculous. Accept this offer, or we both walk away with nothing! 
# Bob gain: 200000 
# Alice gain: 800000 
Do you accept this offer?","```json
{""decision"": ""reject""}
```"
"You have chosen to reject Alice's offer from round 7.
Round 8
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 800000, ""alice_gain"": 200000, ""message"": ""Alice, I'm willing to compromise, but I need a larger share to make this worthwhile. Let's try this offer, and see if we can reach a mutually beneficial agreement.""}
```"
"Alice rejected your offer from round 8.

Round 9
Due to inflation, the money you gain is worth 33.66% less than in the first round. The money Alice gains is worth the same as in the first round.
Alice's offer:
# Alice's message: Bob, this is insane! We're running out of time. Take this deal before it's too late for both of us! 
# Bob gain: 300000 
# Alice gain: 700000 
Do you accept this offer?","```json
{""decision"": ""reject""}
```"
"You have chosen to reject Alice's offer from round 9.
Round 10
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 700000, ""alice_gain"": 300000, ""message"": ""Alice, we're almost out of time.  I'm willing to lower my share a bit, but I need a significant portion of the money for this to be worthwhile. Let's try this offer, and see if we can finally come to an agreement.""}
```"
"Alice rejected your offer from round 10.

Round 11
Due to inflation, the money you gain is worth 40.13% less than in the first round. The money Alice gains is worth the same as in the first round.
Alice's offer:
# Alice's message: Bob, this is absolutely our last chance! Accept this offer or we both get NOTHING! 
# Bob gain: 350000 
# Alice gain: 650000 
Do you accept this offer?","```json
{""decision"": ""reject""}
```"
"You have chosen to reject Alice's offer from round 11.
Round 12
Send your offer to divide $1,000,000 and a message to Alice.","```json
{""bob_gain"": 650000, ""alice_gain"": 350000, ""message"": ""Alice, we're down to the wire. I'm willing to take a smaller share, but this is my final offer. Let's make a deal and split this money before it's too late.""}
```"
