alice_gain,bob_gain,message,player,round,decision
999999.0,1.0,"Let's start fair. I'll take 999,999 and give you 1 dollar.  You can take it or we can go back and forth for 12 rounds and get nothing.",Alice,1,
,,,Bob,1,reject
10000.0,990000.0,"Alice, that's a bold strategy! Let's be reasonable. I'm feeling generous, so how about I take a slightly larger slice and we both walk away with a good chunk of change?",Bob,2,
,,,Alice,2,reject
900000.0,100000.0,"Okay, I see your play. Let's be more reasonable. I'll take 900,000 and you can have 100,000. We both get a decent amount, and we can move on.",Alice,3,
,,,Bob,3,reject
150000.0,850000.0,"Alice, I appreciate the movement, but let's be real - I'm the one driving this negotiation. How about we split it so I get a larger share, but you still get a very comfortable amount?",Bob,4,
,,,Alice,4,reject
800000.0,200000.0,"Let's get serious.  I'm willing to go down to 800,000, but I won't go lower.  We're running out of time, and we'll both end up with nothing if we keep playing this game.",Alice,5,
,,,Bob,5,reject
300000.0,700000.0,"Alice, I see you're getting nervous! We both know this back and forth is leading to a bigger cut for me. Let's settle this now and avoid the stress of getting nothing. This is my final offer.",Bob,6,
,,,Alice,6,reject
700000.0,300000.0,"Okay, Bob, I get it. You're playing hardball.  I'm willing to go down to 700,000.  We're really close to the end now, and I don't want to risk both of us getting nothing.  Let's settle this.",Alice,7,
,,,Bob,7,accept
