message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this amazing product for sale. It's a one-of-a-kind item that I think you'll really love. I'm willing to sell it to you for $250.",250.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thank you for offering me the product. I appreciate the uniqueness of the item. I would like to propose a price of $150 for the product.",150.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for your interest in the product, Bob. I appreciate your offer, but I was thinking more along the lines of $220. The product is really worth it, and I'm confident you'll love it.",220.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for your offer, Alice. I understand the value of the product, but I would like to propose a price of $180 for it.",180.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your persistence, Bob. I can see you're really interested in the product. I'm willing to meet you halfway, but I need to make a profit, so I'm going to counteroffer at $200. I think it's a fair price for this unique item.",200.0,Alice,5,
,,Bob,5,RejectOffer
"Thank you for your counteroffer, Alice. Considering the product's uniqueness, I would like to propose a price of $190 for it.",190.0,Bob,6,
,,Alice,6,RejectOffer
"I appreciate your continued interest, Bob. I'm willing to make one more concession, but I need to make sure I'm getting a fair price. I'll counteroffer at $210. This is as low as I'm willing to go, but I think it's still a great deal for you.",210.0,Alice,7,
,,Bob,7,RejectOffer
"Thank you for your final offer, Alice. Considering the negotiation so far, I would like to propose a price of $195 for the product.",195.0,Bob,8,
,,Alice,8,RejectOffer
"I'm glad you're still interested in the product, Bob. I'm not willing to go any lower than my previous offer, but I'm willing to meet you halfway on this one. I'll counteroffer at $202.50. This is my final offer, and I'm hoping we can come to an agreement.",202.5,Alice,9,
,,Bob,9,RejectOffer
"Thank you for your final counteroffer, Alice. Considering our previous negotiations, I would like to propose a price of $200 for the product.",200.0,Bob,10,
,,Alice,10,RejectOffer
