alice_gain,bob_gain,message,player,round,decision
8000.0,2000.0,"Let's start with a fair split, Bob. I'll give you $2000, and I'll take the rest.",Alice,1,
,,,Bob,1,reject
6000.0,4000.0,"I'll give you a slightly bigger share, but I'm not going to give away the whole thing just yet!",Bob,2,
,,"Thanks for the slight increase, Bob, but I'd like to get a better deal. I'll wait for a more generous offer.",Alice,2,reject
7000.0,3000.0,"I'm willing to compromise, Bob. I'll take $7000, and you can have the rest. Let's finalize this!",Alice,3,
,,,Bob,3,reject
5000.0,5000.0,"I'm willing to meet you halfway, Alice. Let's split it down the middle and call it a day!",Bob,4,
,,"I'd rather not split it down the middle, Bob. I'd like to aim for a higher share, considering the inflation.",Alice,4,reject
7500.0,2500.0,"I'm willing to take a slightly lower share now, Bob. I'll take $7500, and you can have the rest. It's getting late in the game!",Alice,5,
,,,Bob,5,reject
4000.0,6000.0,"I'm not giving in yet, Alice. I'll give you a slightly smaller share, but I'm still holding out for a better deal!",Bob,6,
,,"Bob, I'm not willing to accept such a small share. I'll wait for a more generous offer.",Alice,6,reject
8000.0,2000.0,"It's getting really late, Bob. I'll give you a slightly smaller share, but I need to take a larger share to make this worth my while. Let's finalize this!",Alice,7,
,,,Bob,7,reject
7000.0,3000.0,"I'm not giving up yet, Alice. I'll give you a slightly bigger share, but I'm still hoping to get a better deal before it's too late!",Bob,8,
,,"Bob, I'm not sure why you're still holding out. This offer is essentially the same as the one you made in Round 2, and the value of the money has decreased significantly. I'll wait for a more generous offer.",Alice,8,reject
8500.0,1500.0,"Bob, I'm making a final push. I'll take $8500, and you'll get $1500. This is my last offer. Please accept or we'll both get nothing.",Alice,9,
,,,Bob,9,accept
