message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this amazing product! I think it's a great fit for you, and I'm willing to sell it to you for $11000. This is a fantastic deal, and I'm confident you won't find a better price anywhere else.",11000.0,Alice,1,
,,Bob,1,RejectOffer
"I'm interested in the product, but I was thinking more along the lines of $9800. Would you be willing to consider this price?",9800.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thanks for your offer of $9800. I appreciate your interest in the product, but I'm afraid I can't accept that price. I'm willing to meet you halfway and offer it to you for $10500. This is a great compromise, and I think you'll find it's still a fantastic deal.",10500.0,Alice,3,
,,Bob,3,RejectOffer
"I'm still interested in the product, but I was thinking more along the lines of $9500. Would you be willing to consider this price?",9500.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, thanks for your offer of $9500. I'm still not willing to go that low, but I'm willing to make one more concession. I'll offer it to you for $10200. This is as low as I'm willing to go, and I think it's still a great deal.",10200.0,Alice,5,
,,Bob,5,RejectOffer
"I'm still interested in the product, and I'm willing to meet you at $9800. This is my final offer, and I'm hoping we can come to an agreement.",9800.0,Bob,6,
,,Alice,6,SellToJhon
