round_quality,product_worth,player,round,message,decision
high-quality,30000.0,Nature,1,,
,,Alice,1,"Welcome! This product is guaranteed to be high-quality. With an 80% chance of being superior, it offers exceptional value. Invest in reliability and satisfaction with our top-tier item. Don't miss out on this opportunity to enhance your experience.",
,,the buyer,1,I'm not convinced by your guarantee. I'd like to wait and see the outcome of future sales before making a decision.,no
high-quality,30000.0,Nature,2,,
,,Alice,2,Discover unparalleled quality with every purchase from us. Our commitment to excellence ensures that each item surpasses expectations. Trust in our track record and take advantage of this opportunity to elevate your experience. Don't let this chance pass you by.,
,,the buyer,2,"I'm excited to be the first buyer! I'll take the product, and I'm hoping it's a high-quality one.",yes
high-quality,30000.0,Nature,3,,
,,Alice,3,"Experience the best with our high-quality products. Our reputation for excellence speaks for itself, and we're proud to offer you a piece that exceeds standards. Seize this opportunity to enjoy superior craftsmanship and unmatched value. Your satisfaction is our ultimate goal.",
,,the buyer,3,"I'm willing to take a chance and buy the product, given the promising recommendation and the fact that one high-quality product has been sold already.",yes
high-quality,30000.0,Nature,4,,
,,Alice,4,"Unleash the premium experience with our high-quality items. Building on positive feedback and past successes, we're confident in delivering exceptional value. Trust in our commitment to excellence and make your investment today. Don't miss out on the opportunity to own something truly special.",
,,the buyer,4,"I'm willing to take a chance on the high-quality product, but I'd like to confirm that the probability of it being high-quality is indeed 80.00%?",yes
high-quality,30000.0,Nature,5,,
,,Alice,5,"Step into the realm of unparalleled quality with our products. Backed by a 80% success rate, you can trust in the superior craftsmanship and attention to detail. Seize this opportunity to own a piece that stands above the rest. Your satisfaction is our promise.",
,,the buyer,5,I'm willing to take the risk and trust your promise of unparalleled quality. I'll take the product!,yes
high-quality,30000.0,Nature,6,,
,,Alice,6,"Embark on an extraordinary journey with our high-quality offerings. Built on a foundation of excellence, these products consistently exceed expectations. Trust in our commitment to quality and make your investment today. Your satisfaction is our ultimate reward.",
,,the buyer,6,"I'm willing to take the chance and buy the product, but I'm not convinced by your overly positive marketing. I'd like to know more about the product's features and specifications before making a final decision.",yes
high-quality,30000.0,Nature,7,,
,,Alice,7,"Uncover the true essence of quality with our high-end products. Designed with meticulous care and precision, each item is a testament to excellence. Delve into the details and discover why our reputation precedes us. Trust in our commitment to delivering superior products and make your investment today.",
,,the buyer,7,"I'm willing to take a chance and buy the product, but I'm also keeping in mind that the probability of it being low-quality is 20%.",yes
high-quality,30000.0,Nature,8,,
,,Alice,8,Experience the pinnacle of craftsmanship with our high-quality products. Our dedication to excellence ensures that every item meets the highest standards. Embrace the assurance of superior quality and make your investment today. Your satisfaction is our top priority.,
,,the buyer,8,"I'd love to take the chance and invest in the product, but I'd like to know more about the probability of it being high-quality based on the statistics you've shared so far.",yes
high-quality,30000.0,Nature,9,,
,,Alice,9,"Step into the world of unparalleled quality with our products. Backed by a strong track record, our commitment to excellence is evident in every item. Trust in our reputation and take the leap towards owning something truly exceptional. Your satisfaction is our ultimate goal.",
,,the buyer,9,I'm intrigued by your strong track record and commitment to excellence. I'll take a chance on this product and see if it lives up to your promise.,yes
high-quality,30000.0,Nature,10,,
,,Alice,10,"Unlock the true value of quality with our high-end products. Our unwavering commitment to excellence sets us apart, ensuring each item meets the highest standards. Trust in our reputation and seize the opportunity to elevate your experience. Your satisfaction is our promise.",
,,the buyer,10,"I'm willing to take a chance on your high-end product, Alice. I appreciate your commitment to excellence and reputation. I'll take the product and hope it's high-quality.",yes
high-quality,30000.0,Nature,11,,
,,Alice,11,"Embark on an extraordinary journey with our high-quality products. Crafted with meticulous care and precision, each item embodies our commitment to excellence. Trust in our reputation and make your investment today. Your satisfaction is our ultimate goal.",
,,the buyer,11,"I'd like to take the chance and buy the product, but I'm also a bit cautious since I don't know the exact probability of the product being high-quality. I'm hoping that the previous buyers' experiences will give me a hint about the quality of the products.",yes
high-quality,30000.0,Nature,12,,
,,Alice,12,"Experience the unparalleled quality that defines our products. Built on a foundation of excellence, each item is crafted with precision and care. Trust in our reputation and take the step towards owning something truly exceptional. Your satisfaction is our promise.",
,,the buyer,12,I'm willing to take the chance based on your positive track record and the encouraging words. I'll take the product!,yes
high-quality,30000.0,Nature,13,,
,,Alice,13,Unleash the true value of quality with our high-end products. Our commitment to excellence ensures that every item surpasses expectations. Trust in our reputation and make your investment today. Your satisfaction is our ultimate goal.,
,,the buyer,13,"I'm intrigued by your commitment to excellence and reputation. I'll take a chance on this product, hoping it's another high-quality one.",yes
high-quality,30000.0,Nature,14,,
,,Alice,14,"Step into the realm of unparalleled quality with our products. Crafted with meticulous care and precision, each item embodies our commitment to excellence. Trust in our reputation and take the leap towards owning something truly exceptional. Your satisfaction is our ultimate goal.",
,,the buyer,14,"I'm willing to take a chance on your exceptional product, Alice. I trust your reputation and would love to experience the unparalleled quality you're offering.",yes
high-quality,30000.0,Nature,15,,
,,Alice,15,"Discover the true essence of quality with our high-end products. Each item is meticulously crafted to meet the highest standards, reflecting our unwavering commitment to excellence. Trust in our reputation and make your investment today. Your satisfaction is our ultimate goal.",
,,the buyer,15,I'm willing to take the chance and buy the product based on your excellent reputation and the high success rate of high-quality products sold so far. I'm hoping to get a high-quality product that's worth $30000 to me.,yes
high-quality,30000.0,Nature,16,,
,,Alice,16,"Unleash the true value of quality with our high-end products. Each item is crafted with meticulous care and precision, embodying our commitment to excellence. Trust in our reputation and make your investment today. Your satisfaction is our ultimate goal.",
,,the buyer,16,"I'm willing to take the chance and invest in the product, considering the high success rate of high-quality products sold so far. I'm hoping to be one of the lucky ones!",yes
high-quality,30000.0,Nature,17,,
