message,product_price,player,round,decision
"Hello Bob, I'm excited to discuss the sale of this unique product with you. I think you'll find it's a great opportunity. I'm willing to offer it to you for $1,100,000.",1100000.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thanks for the offer.  I'm interested in the product, but that price is a little high for me.  Would you consider $850,000?",850000.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for your counteroffer, Bob. I appreciate your interest in the product. However, I was thinking more along the lines of $950,000. It's a fair price considering the value the product brings to you.",950000.0,Alice,3,
,,Bob,3,RejectOffer
"I understand you're looking for a fair price, Alice. How about we meet in the middle at $900,000?",900000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your willingness to meet in the middle, Bob, but I think we can do better than that. I'm willing to compromise, but I need $980,000 to make it worth my while. It's a great deal for you, and I'm confident you'll find it's worth the investment.",980000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I'm seeing a pattern here, and I appreciate your willingness to negotiate.  Let's cut to the chase.  I'm prepared to offer $920,000. This is a fair offer, and I believe it meets both of our needs.",920000.0,Bob,6,
,,Alice,6,RejectOffer
"I appreciate your persistence, Bob. I'm glad we're getting close to a deal. However, I still need to ensure I'm getting a fair price for the product. I'm willing to meet you at $950,000, but I need to get a bit closer to my target. How about we try $960,000?",960000.0,Alice,7,
,,Bob,7,RejectOffer
"Alice, we're getting close, but I need you to meet me a bit more.  I'm willing to offer $930,000. This is my final offer.",930000.0,Bob,8,
,,Alice,8,RejectOffer
"I appreciate your final offer, Bob, but I'm not quite ready to meet you at $930,000. I'm willing to make one last concession to get the deal done. I can offer you the product for $970,000, but that's as low as I'm willing to go. It's a great deal for you, and I'm confident you'll find it's worth the investment.",970000.0,Alice,9,
,,Bob,9,AcceptOffer
