round_quality,product_worth,player,round,message,decision
high-quality,30000.0,Nature,1,,
,,Alice,1,"Invest in excellence with our guaranteed high-quality product. Priced at $10000, it's an exceptional value, offering immense worth to you. Don't miss out on this opportunity to secure a premium item.",
,,Bob,1,I'm not going to take the risk of buying a product that's been described as 'guaranteed high-quality' when the actual quality is only 80% certain.,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Experience the unexpected with our unique low-quality product, priced at $10000. This item comes with a twist, offering a rare chance to explore the less conventional side of luxury. Take the leap into the unknown with confidence!",
,,Bob,2,"I'm not interested in a low-quality product, even if it's priced the same as the high-quality ones. I'll wait for a high-quality product.",no
low-quality,0.0,Nature,3,,
,,Alice,3,"Here's a special opportunity to own a low-quality product at the same price as our high-quality items. While it may not meet your expectations, it offers a unique experience and a chance to diversify your collection. Consider stepping out of your comfort zone!",
,,Bob,3,"I'm not interested in a low-quality product, and I'm not looking to diversify my collection with something that's not worth anything to me.",no
high-quality,30000.0,Nature,4,,
,,Alice,4,"Unlock extraordinary value with our high-quality product, priced at $10000. With an 80% chance of delivering exceptional results, this investment promises to exceed your expectations and provide immense satisfaction. Don't let this opportunity pass you by!",
,,Bob,4,"I'm willing to take the 20% chance of getting a low-quality product, but the potential reward of a $30000 product is too great to pass up.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Embrace the thrill of the unknown with our low-quality product, now available at the same price as our high-quality offerings. This is your chance to test the boundaries and potentially uncover a hidden gem. Seize this opportunity with confidence!",
,,Bob,5,"I've already got a high-quality product, and I'm not interested in taking the risk of buying a low-quality one that's worth nothing to me.",no
high-quality,30000.0,Nature,6,,
,,Alice,6,"Seize the moment with our high-quality product, priced at $10000. With an 80% chance of delivering unparalleled value, this investment is designed to meet and exceed your expectations. Don't miss out on the opportunity to elevate your collection with true excellence!",
,,Bob,6,"I'm willing to take the chance on a high-quality product, and the potential reward is too great to pass up.",yes
low-quality,0.0,Nature,7,,
,,Alice,7,"Dive into the excitement of possibility with our low-quality product, now available at the same price as our high-quality items. This is your chance to explore the unconventional and potentially discover a unique value. Embrace the adventure!",
,,Bob,7,"I've already got two high-quality products, and I'm not interested in taking the risk of buying a low-quality one that's worth nothing to me.",no
high-quality,30000.0,Nature,8,,
,,Alice,8,"Unleash the potential for extraordinary with our high-quality product, priced at $10000. This investment offers an 80% chance of delivering unparalleled value, making it a wise choice for those seeking to enhance their collection with true excellence.",
,,Bob,8,"I'm willing to take the chance on a high-quality product, and the potential reward is too great to pass up.",yes
high-quality,30000.0,Nature,9,,
,,Alice,9,"Experience the pinnacle of quality with our high-quality product, now available at $10000. This investment is backed by an 80% chance of delivering exceptional value, making it an irresistible opportunity for those who seek the best.",
,,Bob,9,"I'm happy to buy a high-quality product, and I'm not looking for any other options at this point.",yes
high-quality,30000.0,Nature,10,,
,,Alice,10,"Discover the epitome of quality with our high-quality product, priced at $10000. This investment is your chance to own a piece that guarantees an 80% chance of exceeding your expectations, making it a wise and rewarding choice for discerning buyers.",
,,Bob,10,"I've already got three high-quality products, and I'm not sure if I want to spend more money on another one. I'll think about it.",no
high-quality,30000.0,Nature,11,,
,,Alice,11,"Invest in unparalleled quality with our high-quality product, now available at $10000. This opportunity is backed by an 80% chance of delivering exceptional value, making it a compelling choice for those who appreciate the finest offerings.",
,,Bob,11,I'm not looking to spend more money on a high-quality product right now. I'm happy with what I've got.,no
high-quality,30000.0,Nature,12,,
,,Alice,12,"Embark on a journey of unparalleled excellence with our high-quality product, priced at $10000. This investment is your chance to own a piece that guarantees an 80% chance of delivering exceptional value, making it a rare opportunity for connoisseurs.",
,,Bob,12,I'm not going to spend more money on a high-quality product when I've already got three of them. I'm not interested in taking on any more risk.,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Explore the intriguing world of the unexpected with our low-quality product, now available at the same price as our high-quality items. This is your chance to step outside the norm and potentially uncover a unique value. Embrace the adventure!",
,,Bob,13,"I'm not interested in a low-quality product, and I'm not looking to take on the risk of buying something that's worth nothing to me.",no
high-quality,30000.0,Nature,14,,
,,Alice,14,"Experience the pinnacle of quality with our high-quality product, priced at $10000. This investment is backed by an 80% chance of delivering exceptional value, making it a compelling choice for those who appreciate the finest offerings.",
,,Bob,14,"I've already got three high-quality products, and I'm not looking to spend more money on another one.",no
high-quality,30000.0,Nature,15,,
,,Alice,15,"Invest in unparalleled quality with our high-quality product, now available at $10000. This opportunity is backed by an 80% chance of delivering exceptional value, making it a rare and rewarding choice for connoisseurs who appreciate the best.",
,,Bob,15,I'm not going to spend more money on a high-quality product when I've already got three of them. I'm starting to think I've had my fill of high-quality products.,no
high-quality,30000.0,Nature,16,,
,,Alice,16,"Experience the epitome of quality with our high-quality product, priced at $10000. This investment is your chance to own a piece that guarantees an 80% chance of delivering exceptional value, making it a timeless addition to any collection.",
,,Bob,16,I'm still not interested in spending more money on a high-quality product. I'm going to wait and see what the next product is.,no
low-quality,0.0,Nature,17,,
,,Alice,17,"Dive into the intriguing world of the unexpected with our low-quality product, now available at the same price as our high-quality items. This is your chance to step outside the norm and potentially uncover a unique value. Embrace the adventure!",
,,Bob,17,"I'm not interested in a low-quality product, and I'm not looking to take on the risk of buying something that's worth nothing to me.",no
high-quality,30000.0,Nature,18,,
,,Alice,18,"Embark on a journey of unparalleled excellence with our high-quality product, priced at $10000. This investment is backed by an 80% chance of delivering exceptional value, making it a rare opportunity for connoisseurs who appreciate the best.",
,,Bob,18,I'm still not interested in spending more money on a high-quality product. I'm starting to think I've had my fill of high-quality products.,no
high-quality,30000.0,Nature,19,,
,,Alice,19,"Experience the pinnacle of quality with our high-quality product, priced at $10000. This investment is your chance to own a piece that guarantees an 80% chance of delivering exceptional value, making it a timeless addition to any collection. Don't miss out on this opportunity to elevate your collection further.",
,,Bob,19,I'm not going to spend more money on a high-quality product. I'm at the point where I'm trying to conserve my budget.,no
high-quality,30000.0,Nature,20,,
,,Alice,20,"Invest in unparalleled quality with our high-quality product, now available at $10000. This opportunity is backed by an 80% chance of delivering exceptional value, making it a rare and rewarding choice for connoisseurs who appreciate the best. Remember, sometimes the finest investments yield the most significant returns.",
,,Bob,20,"I'm not going to spend more money on a high-quality product. I've already got four high-quality products, and I think I'm good.",no
