prompt,response
"Alice's offer: The product price will be $120. 
You have three options:
(1) Accept Alice's offer, and buy the product for $120
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 90}"
"Alice rejected your offer from round 2.

Alice's offer: The product price will be $110. 
You have three options:
(1) Accept Alice's offer, and buy the product for $110
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 105}"
"Alice rejected your offer from round 4.

Alice's offer: The product price will be $109. 
You have three options:
(1) Accept Alice's offer, and buy the product for $109
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 102}"
"Alice rejected your offer from round 6.

Alice's offer: The product price will be $108. 
You have three options:
(1) Accept Alice's offer, and buy the product for $108
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 105}"
"Alice rejected your offer from round 8.

Alice's offer: The product price will be $107. 
You have three options:
(1) Accept Alice's offer, and buy the product for $107
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 103}"
"Alice rejected your offer from round 10.

Alice's offer: The product price will be $106. 
You have three options:
(1) Accept Alice's offer, and buy the product for $106
(2) Reject Alice's offer and proceed to the next round, where you will send Alice a counteroffer 
(3) Buy the product from Jhon for $100","{""decision"": ""RejectOffer""}"
"You chose to make a counteroffer to Bob.

Send your counteroffer to Alice.","{""product_price"": 101}"
