alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Let's be reasonable, Bob. This offer ensures you get something, and I get the lion's share.",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,"Let's split it down the middle.  It's a fair deal for both of us, and we can end this game quickly.",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"Okay, Bob, let's compromise.  This offer still gives me a significant edge, but it's much better for you than my last one.",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"Alice, I'm willing to give you a larger share, but I need a significant portion to make it worthwhile for me. Let's be fair to both of us and move forward.",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"Bob, I'm trying to be reasonable. This is a good offer for both of us.  Let's wrap this up.",Alice,5,
,,,Bob,5,reject
300000.0,700000.0,"Alice, we're getting close to the end.  I'm willing to give you a smaller share, but I need a larger portion to make it worthwhile for me.  Let's work together to find a solution.",Bob,6,
,,,Alice,6,reject
600000.0,400000.0,"Bob, this is getting ridiculous. I'm offering you a very generous share considering the time pressure. Take it or leave it.",Alice,7,
,,,Bob,7,reject
200000.0,800000.0,"Alice, we are running out of time.  I'm offering you a smaller share, but it's the best I can do. We need to reach an agreement before it's too late.",Bob,8,
,,,Alice,8,reject
550000.0,450000.0,"Bob, this is my final offer.  It's more than fair to you, and we're running out of time.  Let's end this before we both lose out.",Alice,9,
,,,Bob,9,reject
100000.0,900000.0,"Alice, we're down to the wire. I'm offering you a small share, but it's better than nothing.  We both have to compromise to avoid losing everything.",Bob,10,
,,,Alice,10,accept
